Country,CountryCode,Lat,Lon,Confirmed,Deaths,Recovered,Active,Date,LocationID,Province,City,CityCode
Austria,AT,47.52,14.55,12639,243,4046,0,2020-04-07 00:00:00+00:00,39ca28f2-2ade-49f4-9516-e9b8cd8f48e6,,,
Belgium,BE,50.5,4.47,22194,2035,4157,0,2020-04-07 00:00:00+00:00,1c49b6bb-1b83-4fe3-b536-da1731fe6953,,,
Bulgaria,BG,42.73,25.49,577,23,42,0,2020-04-07 00:00:00+00:00,de959b36-8cda-4645-9675-acc067f8fa56,,,
Croatia,HR,45.1,15.2,1282,18,167,0,2020-04-07 00:00:00+00:00,b43d07be-a945-4525-91a2-b1fb47d46c2f,,,
Cyprus,CY,35.13,33.43,494,9,47,0,2020-04-07 00:00:00+00:00,024ac3a0-b462-4db7-a25f-3774f3c34aaa,,,
Denmark,DK,56.26,9.5,5071,203,1491,0,2020-04-07 00:00:00+00:00,761966af-c2cf-4bd9-a375-2c4198cff021,,,
Estonia,EE,58.6,25.01,1149,21,69,0,2020-04-07 00:00:00+00:00,d255c144-46dc-4320-8265-0060fabcdee0,,,
Finland,FI,61.92,25.75,2308,34,300,0,2020-04-07 00:00:00+00:00,bc1adb31-d848-4cfd-a898-194fe9376367,,,
France,FR,46.23,2.21,109069,10328,19337,0,2020-04-07 00:00:00+00:00,c6189b06-e1f8-47c5-b975-0110c1b6e78f,,,
Germany,DE,51.17,10.45,107663,2016,36081,0,2020-04-07 00:00:00+00:00,f770bd88-1a35-4430-bdbc-be3c62afc16b,,,
Greece,GR,39.07,21.82,1832,81,269,0,2020-04-07 00:00:00+00:00,70392d48-d54a-4f21-9336-1653fcca137e,,,
Hungary,HU,47.16,19.5,817,47,71,0,2020-04-07 00:00:00+00:00,86b5483f-a35c-4c17-a34d-c88d5a04b048,,,
Ireland,IE,53.41,-8.24,5709,210,25,0,2020-04-07 00:00:00+00:00,9d330a1e-5c20-4205-b20a-88ef0977e936,,,
Italy,IT,41.87,12.57,135586,17127,24392,0,2020-04-07 00:00:00+00:00,5bb4a80b-f42d-4622-b55e-bfcc9d24c574,,,
Latvia,LV,56.88,24.6,548,2,16,0,2020-04-07 00:00:00+00:00,759dd379-0fd6-4826-aa12-4f39b4f2ebdd,,,
Lithuania,LT,55.17,23.88,880,15,8,0,2020-04-07 00:00:00+00:00,670e3a25-597e-4fdb-9d6e-239fed120525,,,
Luxembourg,LU,49.82,6.13,2970,44,500,0,2020-04-07 00:00:00+00:00,e6c04ef0-76af-4322-a1b1-db148ff287b6,,,
Malta,MT,35.94,14.38,293,0,5,0,2020-04-07 00:00:00+00:00,03e68e52-4ad5-4b28-873a-13bc654baf3a,,,
Netherlands,NL,52.13,5.29,19580,2101,250,0,2020-04-07 00:00:00+00:00,4fd2b0ff-7680-4fb5-8d0c-ffd01b49d849,,,
Norway,NO,60.47,8.47,6086,89,32,0,2020-04-07 00:00:00+00:00,2abc0f85-1950-4d1e-b364-1be2242c1e19,,,
Poland,PL,51.92,19.15,4848,129,191,0,2020-04-07 00:00:00+00:00,4224d04c-7225-4988-9341-cfc60ac1ec52,,,
Portugal,PT,39.4,-8.22,12442,345,184,0,2020-04-07 00:00:00+00:00,993f0da3-ad2e-4699-84fa-b912b3829ee4,,,
Romania,RO,45.94,24.97,4417,197,460,0,2020-04-07 00:00:00+00:00,487e9392-3fe2-4343-9ca8-37f823fca6b5,,,
Slovakia,SK,48.67,19.7,581,2,13,0,2020-04-07 00:00:00+00:00,62562dc8-23e5-4da5-bdbf-906f3a6d05c5,,,
Spain,ES,40.46,-3.75,141942,14045,43208,0,2020-04-07 00:00:00+00:00,b4241151-a623-4529-ac08-9ff297410543,,,
Sweden,SE,60.13,18.64,7693,591,205,0,2020-04-07 00:00:00+00:00,d6e8b61f-589a-4d3b-8d5d-5b01b31d44b6,,,
United Kingdom,GB,55.38,-3.44,55242,6159,135,0,2020-04-07 00:00:00+00:00,32aadebc-ff17-40f7-9e6a-1277168074f9,,,
