Country,Confirmed,air_transport_passengers_2018
Austria,12639,31138417
Belgium,22194,34506294
Bulgaria,577,12137714
Cyprus,494,10927101
Germany,107663,222422361
Denmark,5071,34701139
Estonia,1149,2995528
Spain,141942,220611429
Finland,2308,22173530
France,109069,161991179
Croatia,1282,9731294
Hungary,817,15176493
Ireland,5709,36345005
Italy,135586,153352444
Lithuania,880,6254178
Luxembourg,2970,3988804
Latvia,548,7037081
Malta,293,6805817
Netherlands,19580,79644055
Norway,6086,40030105
Poland,4848,43767548
Romania,4417,19809642
Sweden,7693,38945096
United Kingdom,55242,272190155
