Country,Confirmed,total_nights_spent_hotels_2018,air_transport_passengers_2018
Austria,12639,125229170,31138417
Belgium,22194,41320284,34506294
Bulgaria,577,26845013,12137714
Cyprus,494,17164182,10927101
Germany,107663,419556284,222422361
Denmark,5071,33280395,34701139
Estonia,1149,6630315,2995528
Spain,141942,466940717,220611429
Finland,2308,22235084,22173530
France,109069,442760050,161991179
Croatia,1282,89567653,9731294
Hungary,817,32830120,15176493
Ireland,5709,,36345005
Italy,135586,428844937,153352444
Lithuania,880,8091647,6254178
Luxembourg,2970,2920245,3988804
Latvia,548,5368739,7037081
Malta,293,10114196,6805817
Netherlands,19580,116081577,79644055
Norway,6086,,40030105
Poland,4848,88860463,43767548
Romania,4417,28461153,19809642
Sweden,7693,60856874,38945096
United Kingdom,55242,,272190155
